"nome_da_serie","temporada","media_nota_temporada","total_votos_temporada","ano_temporada"
"20/20","40",7.24318181818182,590,"2016"
"20/20","41",7.17804878048781,484,"2017"
"20/20","42",7.27727272727273,667,"2018"
"20/20","43",7.47297297297297,613,"2019"
"20/20","44",7.17647058823529,635,"2020"
"20/20","45",7.83846153846154,512,"2021"
"20/20","46",7.7974358974359,680,"2022"
"20/20","47",7.26060606060606,464,"2023"
"20/20","7",6.3,7,"2010"
"20/20","\N",6.43239436619718,902,"1985"
"20/20 on ID","3",9,6,"2014"
"20/20: The Interrogation Tapes","1",7.65,16,"2024"
"2000 Jahre Christentum","1",6.7,82,"1999"
"2000 Malibu Road","1",6.45,49,"1992"
"2002 FIFA World Cup","1",7.2,30,"2002"
"2002 FIFA World Cup","\N",7.41951219512195,465,"2002"
"2002-2003 UEFA Champions League","\N",9,5,"2003"
"2003-2004 UEFA Champions League","1",7.8,5,"2003"
"2004-2010 s Leonidom Parfyonovym","1",7.47142857142857,67,"2020"
"2006 FIFA World Cup","\N",7.33611111111111,625,"2006"
"2006-2007 UEFA Champions League","1",6.4,5,"2007"
"2006-2007 UEFA Champions League","\N",7.9,7,"2007"
"2007 ICC World Twenty20","1",9.35,26,"2007"
"2007-2008 UEFA Champions League","\N",7.46666666666667,18,"2007"
"2008-2009 UEFA Champions League","\N",6.86666666666667,24,"2009"
"2009 World Series of Poker","1",8.75217391304348,147,"2009"
"2009: A True Story","1",9.1,21,"2008"
"2010 FIFA World Cup","1",6.6140625,1603,"2010"
"2010 ICC World Twenty20","\N",9,7,"2010"
"2010-2011 UEFA Champions League","\N",7.8,18,"2011"
"2011 World Series","1",8.5,7,"2011"
"2011-2012 UEFA Champions League","\N",7.6,31,"2012"
"2012 Presidential Debates","1",4.5,7,"2012"
"2012-2013 UEFA Champions League","1",7.5,7,"2012"
"2012-2013 UEFA Champions League","2",7.85,32,"2013"
"2012-2013 UEFA Champions League","\N",8.1625,85,"2012"
"2013-2014 UEFA Champions League","\N",8.32,105,"2013"
"2014 FIFA World Cup Brazil","1",6.7734375,2811,"2014"
"2014 ICC World Twenty20","\N",7.3,20,"2014"
"2014-2015 UEFA Champions League","\N",6.875,66,"2014"
"2015 World Series","1",7.9,12,"2015"
"2015-2016 UEFA Champions League","\N",8.33333333333333,32,"2015"
"2016 ICC World Twenty20","\N",7.94285714285714,68,"2016"
"2016 Presidential Debates","1",6.46666666666667,81,"2016"
"2016 World Series","1",7.97142857142857,66,"2016"
"2016-2017 UEFA Champions League","\N",7.93333333333333,72,"2017"
"2017 ICC Champions Trophy","\N",5.8,11,"2017"
"2017 World Series","1",7.97142857142857,60,"2017"
"2017-2018 UEFA Champions League","\N",7.43333333333333,59,"2017"
"2018 FIFA World Cup Russia","1",6.434375,3721,"2018"
"2018 World Series","1",8.8,5,"2018"
"2018-2019 Süper Lig","\N",5.9,13,"2018"
"2018-2019 UEFA Champions League","\N",7.85681818181818,583,"2018"
"2019 World Series","1",8.16666666666667,34,"2019"
"2019-2020 Süper Lig","1",5.4,13,"2019"
"2019-2020 Süper Lig","2",5.46666666666667,23,"2020"
"2019-2020 UEFA Champions League","1",7.18,251,"2019"
"2019-2020 UEFA Champions League","2",6.98095238095238,234,"2020"
"2020","1",8.90333333333333,285,"2021"
"2020 A.D.","1",9.84736842105263,245,"2020"
"2020 Democratic National Convention","\N",7.7,166,"2020"
"2020 Presidential Debates","1",4.4,52,"2020"
"2020 Republican National Convention","\N",3.75,165,"2020"
"2020 World Series","1",8.13333333333333,39,"2020"
"2020-2021 UEFA Champions League","1",7.29230769230769,113,"2020"
"2021 World Series","1",8.1,10,"2021"
"2021-2022 UEFA Champions League","1",9.4,18,"2022"
"2021-2022 UEFA Champions League","\N",8.1,44,"2021"
"2022 FIFA World Cup Qatar","1",6.57291666666667,2872,"2022"
"2022 FIFA World Cup Qatar","2",6.6125,499,"2022"
"2022 FIFA World Cup Qatar","3",7.675,327,"2022"
"2022 FIFA World Cup Qatar","4",7.2,152,"2022"
"2022 FIFA World Cup Qatar","5",8.15,324,"2022"
"2022 ICC Men's T20 World Cup","1",7.66666666666667,26,"2022"
"2022 World Series","1",7.66666666666667,47,"2022"
"2022-2023 Süper Lig","\N",7.93125,97,"2022"
"2023 FIFA Women's World Cup","1",7.9,49,"2023"
"2023 ICC Cricket World Cup","1",6.60833333333333,62,"2023"
"2023 World Baseball Classic","1",7.6,5,"2023"
"2023-2024 Süper Lig","\N",8.9625,49,"2023"
"2023-2024 UEFA Champions League","1",8.26,48,"2023"
"2024 ICC Men's T20 World Cup","1",9.4,16,"2024"
"2024 Republican National Convention","1",6.13333333333333,20,"2024"
"2030 - Aufstand der Alten","1",5.4,5,"2007"
"2057","1",6.66666666666667,81,"2007"
"2077 - 10 Segundos Para o Futuro","1",6.6,5,"2018"
"2091","1",7.26666666666667,45,"2016"
"20h10 pétantes","\N",9.8,29,"2003"
"21 Jump Street","1",7.33333333333333,2877,"1987"
"21 Jump Street","2",7.41363636363636,3506,"1987"
"21 Jump Street","3",7.64,2579,"1988"
"21 Jump Street","4",7.43461538461538,2840,"1989"
"21 Jump Street","5",6.92272727272727,1472,"1990"
"21 Sarfarosh - Saragarhi 1897","1",9.2,8,"2018"
"21 Thunder","1",7.225,177,"2017"
"22 Kids and Counting","1",5.8,5,"2021"
"22. juli","1",7.91666666666667,371,"2020"
"227","1",7.24545454545455,825,"1985"
"227","2",7.46363636363636,671,"1986"
"227","3",7.39583333333333,621,"1987"
"227","4",7.2375,562,"1988"
"227","5",7.3125,480,"1989"
"23 Morde","1",5.68333333333333,73,"2019"
"23-F: El día más difícil del Rey","1",6.4,23,"2009"
"23.5","1",9.40833333333333,731,"2024"
"24","1",8.21875,49857,"2001"
"24","2",8.47083333333333,38479,"2002"
"24","3",8.43333333333333,33566,"2003"
"24","4",8.324,31719,"2004"
