"nome_da_serie","startYear","endYear","total_votos","averageRating"
"Kaseifu no mita","2011","\N",67,6.6
"Kashi no ki Mokku","1972","1972",16,9.2
"Kasimasi: Girl Meets Girl","2006","2006",147,6
"Kasko","2022","\N",5,8.6
"Kassandra","1992","1993",6,6.5
"Kastanjemanden","2021","\N",7573,7.3
"Kasturi","2007","2010",70,9.4
"Katakomben","2021","2021",57,5.8
"Katanagatari","2010","2010",567,8.1
"Katar - WM der Schande","2022","2023",24,7
"Katarakt","2007","2008",82,7.2
"Katarsis","2023","2023",19,8
"Katastrofin anatomia","2015","\N",5,7.4
"Kate & Allie","1984","1989",9425,6.9
"Kate & Koji","2020","2022",645,7.7
"Kate Brasher","2001","2001",20,9.6
"Kate Humble's Coastal Britain","2021","\N",11,7.5
"Kate Humble: Off the Beaten Track","2017","2017",22,6.9
"Kate McShane","1975","\N",16,7.3
"Kate Plus 8","2010","2017",6,6.2
"Katei Kyoshi Hitman Reborn!","2006","2010",538,6
"Kater Mikesch","1985","\N",6,5.8
"Kath & Kim","2002","2007",2561,8.4
"Kath & Kim","2008","2009",594,5.2
"Kath and Kim: Our Effluent Life","2022","2022",32,7.5
"Katha Ankahee","2022","2023",123,6.9
"Kathmandu Connection","2021","\N",218,6.6
"Kathy","2012","2013",30,6.7
"Kathy Burke's All Woman","2019","\N",19,8.3
"Kathy Burke: Money Talks","2021","2021",18,8.8
"Kathy Griffin: My Life on the D-List","2005","2010",965,7.3
"Katie & Peter","2007","\N",6,7.5
"Katie Chats","2011","2015",80,4
"Katie Fforde","2010","2021",1555,5.4
"Katie Price's Mucky Mansion","2022","2023",21,5.2
"Katla","2021","2021",4468,7.3
"Kato Partali","2014","2015",172,8.6
"Katorse","2009","2010",26,7.8
"Katsugeki/Touken Ranbu","2017","2017",135,6.4
"Katsute Kami Datta Kemono-tachi e","2019","\N",219,7.4
"Katsute Mahô Shôjo to Aku wa Tekitai Shiteita.","2024","\N",81,6.9
"Katts and Dog","1988","1993",8,8.6
"Katy","2018","2018",11,7.7
"Katy Keene","2020","2020",1978,7.1
"Kaubôi bibappu: Cowboy Bebop","1998","1999",88989,8.2
"Kaukasia 30 päivässä","2015","2015",22,7
"Kaulitz & Kaulitz","2024","2024",208,8
"Kaun Banega Crorepati?","2000","\N",2286,2.4
"Kaun Banegi Shikharwati","2022","2022",78,6.1
"Kaushiki","2018","2018",144,8.5
"Kava z Kardamonom","2021","2021",20,8.4
"Kavak Yelleri","2007","2011",734,6.3
"Kavanagh QC","1995","2001",2564,7.7
"Kavanozdaki Adam","1987","1987",21,7.2
"Kaverille ei jätetä","1999","2004",486,3.1
"Kavi Kasturi","2024","\N",16,8.5
"Kavita Bhabhi","2020","\N",93,6.5
"Kavya - Ek Jazbaa, Ek Junoon","2023","\N",22007,9.9
"Kavyaarohan","2019","2022",46,8.2
"Kawaii dake ja nai Shikimori-san","2022","2022",1887,6.8
"Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?","2019","2019",421,6.3
"Kawaisugi Crisis","2023","2023",39,6.2
"Kay O'Brien","1986","1986",7,8.4
"Kay tagal kang hinintay","2002","2003",10,8.9
"Kayamath","2007","2009",175,8.5
"Kaybolan Yillar","2006","2007",13,8.9
"Kaygisizlar","1994","1998",694,7.1
"Kayip","2013","2014",132,8.2
"Kayip Sehir","2012","2013",14,8.1
"Kaynanalar","1974","2005",5,6.2
"Kaz","1978","1979",8,8.8
"Kazanova","2020","2020",51,7.2
"Kazara Ask","2021","2021",86,7.1
"Kaze ga tsuyoku fuiteiru","2018","2019",1628,7.8
"Kaze no stigma","2007","2007",608,7
"Kazoku Robinson hyôryûki fushigina shima no furône","1981","1981",616,6.8
"Kaçak","2013","2015",193,8.2
"Kaçak Gelinler","2014","2015",48,3
"Kaçis","2021","2021",7,5.8
"Kaçis","2022","\N",3187,5.6
"Kaî to Otome to Kamikakushi","2024","2024",229,7.4
"Kdabra","2009","\N",17,7.3
"Kde padají hvezdy","1996","\N",16,8.3
"Ke$ha: My Crazy Beautiful Life","2013","\N",126,7.9
"Keanu Sumawinata Talks","2020","\N",242,5.7
"Keen Eddie","2003","2004",514,7.8
"Keep Breathing","2022","2022",2394,6.6
"Keep Sweet: Pray and Obey","2022","2022",1459,7.2
"Keep This Between Us","2022","2022",97,6.9
"Keep Your Head Up, Kid: The Don Cherry Story","2010","2010",24,8.2
"Keeper of the Ashes: The Oklahoma Girl Scout Murders","2022","\N",73,6.2
"Keeping Faith","2017","2021",3056,7.5
"Keeping Mum","1997","1998",56,6.7
"Keeping Score","2004","2011",22,8.8
"Keeping Up Appearances","1990","1995",12757,7.9
"Keeping Up with the Joneses","2021","\N",111,6.8
"Keeping Up with the Joneses","2010","2011",8,9.6
"Keeping Up with the Kardashians","2007","2021",22465,6.1
"Kees & Co","1997","2020",658,7.6
"Kees van der Spek: Oplichters Aangepakt!","2019","\N",21,7.6
"Keh Doon Tumhein","2023","2023",102,8.9
"Kehne Ko Humsafar Hain","2018","2020",96,8.6
"Keibuho daimajin","2023","2023",49,8.3
"Keihäsmatkat","2020","\N",85,7.3
"Keijirô engawa nikki 3","2005","\N",8,7.2
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.","2023","2023",826,7.7
"Keine zweite Chance","2017","2017",14,5.4
"Keisari Aarnio","2018","2018",127,6
"Keizersvrouwen","2019","2020",371,6.8
"Keizoku","1999","\N",7,7
"Keizoku 2: SPEC - Keishichou kouanbu kouan daigoka mishou jiken tokubetsu taisakugakari jikenbo","2010","\N",74,7.7
"Kei×Yaku: Dangerous Partners","2022","2022",58,8.2
"Kejsarn av Portugallien","1992","1993",20,7.2
"Kekkai Sensen","2015","2017",1815,7.7
"Kekkaishi","2006","2011",44,6.6
"Kekko Kamen","1991","1992",91,6.8
"Kekkon Yubiwa Monogatari","2024","\N",340,7.8
"Kekkon dekinai otoko","2006","\N",284,7.5
"Kekkonen","2017","2018",37,8
"Kelileh & Demneh","2022","\N",107,8.4
"Keloglan Masallari","2008","2016",86,9.3
"Kelsey Grammer Presents: The Sketch Show","2005","2005",18,8
"Kelsey Grammer's Historic Battles for America","2022","\N",118,9.4
"Kelvin's Big Farming Adventure","2022","2022",6,5.5
"Kemeko derakkusu!","2008","2008",12,7
"Kemono Friends","2017","2017",210,4.7
"Kemono Friends 2","2019","2019",21,4.7
"Kemono Jihen","2021","2021",1173,8.1
"Kemono Michi","2019","2019",350,7.2
"Kemono no Souja Erin","2009","2009",20,7.7
"Kemonozume","2006","2006",338,7
"Kemurikusa.","2019","\N",60,5.8
"Keménykalap és krumpliorr","1974","\N",46,8.3
"Ken Burns Presents: The Gene","2020","\N",49,8.3
"Ken Burns: American Lives","1997","\N",148,7.5
"Ken and Barbie Killers: The Lost Murder Tapes","2021","2021",163,7.6
"Kenan","2021","2022",1676,6.3
"Kenan & Kel","1996","2023",4244,7.9
"Kendi Düsen Aglamaz","2023","2024",413,8.4
"Kendra","2009","2011",66,6.8
"Kendra","2012","\N",6,8.6
"Kendra Sells Hollywood","2021","2023",15,5.8
"Kendra on Top","2012","2017",159,8.4
"Kengan Ashura","2019","\N",6445,7.2
"Kenja no Deshi o Nanoru Kenja","2022","2022",263,5.1
"Kenja no Mago","2019","2019",1016,8.2
"Kenka Dokugaku","2024","\N",547,8
"Kenkô zenrakei suieibu umishô","2007","2007",16,7.4
"Kennedy","1983","1983",68,7.5
"Kennedy","2023","2023",256,8.5
"Kenny Hotz's Triumph of the Will","2011","2011",274,7.2
"Kenny Starfighter","1997","2022",192,8.7
"Kenny vs. Spenny","2002","2010",7800,7.5
"Kenpufâ","2009","2009",154,7
"Kenpuu Denki Berserk","1997","1998",27427,7.7
"Kentucky Justice","2013","\N",10,5.6
"Kenzen Robo Daimidaler","2014","\N",8,4.9
"Keonekteu","2022","2022",605,7.2
"Keopi Hanjan Halkkayo?","2021","\N",43,7.7
"Keopi peurinseu 1-hojeom","2007","2007",704,7.6
"Keoteunkol","2022","2022",15,6.4
"Kepler(s)","2018","2019",68,6.1
"Keppeki danshi! Aoyama-kun","2017","2017",169,8.5
"Kerala Crime Files","2023","\N",315,8.1
"Kerchi: Dakarguli Gmirebi","2015","\N",79,9.4
"Keresztanyu","2021","\N",35,3.8
"Keroro gunsô","2004","2011",273,7.5
"Kerstgezel.nl","2020","2020",12,7.4
"Kertenkele","2014","2016",13,8.2
"Kesanli Ali Destani","2011","2012",5,5.4
"Kesar","2002","2007",588,9.9
"Kesariya Balam Aavo Hamare Des","2009","2011",14,7.4
"Keskin Biçak","2010","2010",54,9.9
"Kessler","1981","1981",147,7.2
"Kesslers Expedition","2010","\N",223,9
"Ketchup with the Hot Dogs","2013","\N",41,7
"Ketonen & Myllyrinne","2006","2010",81,8
"Keudeuli Saneun Sesang","2008","2008",88,7.7
"Keulimineol maindeu","2017","2017",178,7.8
"Keuraim Peojeul","2021","2021",5,7.6
"Keureiji reobeu","2022","2022",332,6.9
"Keuringsdienst van waarde","2003","\N",2400,8.1
"Kevin (Probably) Saves the World","2017","2018",3751,7.8
"Kevin Can F**k Himself","2021","2022",5004,7.1
"Kevin Can Wait","2016","2018",12287,6.8
"Kevin Hart Presents: The Next Level","2017","\N",7,7
"Kevin Hart: Don't F**k This Up","2019","2019",602,6.7
"Kevin Hart: What the Fit","2018","\N",130,8
"Kevin Hill","2004","2005",63,9
"Kevin Kühnert und die SPD","2021","2021",16,6.9
"Kevin McCloud's Escape to the Wild","2015","\N",38,8.2
"Kevin McCloud's Grand Tour of Europe","2009","\N",18,7.8
"Kevin McCloud's Rough Guide to the Future","2020","2020",10,7.6
"Kevin Pollak's Chat Show","2009","2019",235,5.6
"Kevin Spencer","1998","2005",176,3.5
"Kevin from Work","2015","2015",562,7.5
"Kew Gardens: A Year in Bloom","2021","2022",29,7.6
"Key West","1993","1993",57,6.9
"Key and Peele","2012","2015",13155,7.9
"Key: The Metal Idol","1994","1997",208,8.1
"Keyzer & De Boer advocaten","2005","2008",334,8.2
"Kfulim","2015","2022",913,6.9
"Khaani","2017","\N",100,9.8
"Khaie","2024","2024",363,9
"Khakee: The Bihar Chapter","2022","\N",1346,7.5
"Khamsa w Nos","2019","2019",28,8.1
"Khan Al Zahab","2023","2024",13,8.7
"Khane Be Doosh","2004","2004",468,7.7
"Khat Kabbadi","2022","\N",7,7.4
"Khatta Meetha","2021","\N",38,8.6
"Khawatir","2005","2015",447,9.4
"Khichdi","2002","\N",471,8.9
"Khidki","2023","2023",16,7.9
"Khloé & Lamar","2011","2012",575,6.8
"Kholivar. Istoriya Runeta","2019","2019",66,5.9
"Khoob Bad Jelf: Radioactive","2021","\N",1312,3
"Khoroshiy chelovek","2020","2020",62,7.1
"Khosoof","2021","\N",484,6.5
"Khozhdenie po mukam","1977","\N",105,6.8
"Khozhdenie po mukam","2017","2017",230,7.2
"Khraniteli","1991","1991",41,4.4
"Khrustalnyy","2021","2021",219,7.6
"Khuda Aur Mohabbat 3","2021","2021",1405,8.7
"Khuda Aur Muhabbat","2011","\N",46,7.9
"Khuda Aur Muhabbat","2016","\N",96,8.5
"Khudozhnik","2022","2022",5,7
"Khul Ja Sim Sim: Ullu Series","2020","2020",66,8.1
"Khumar","2023","\N",99,9.2
"Ki Hwanghoo","2013","2014",1620,8.7
"Kiba","2006","2007",15,6.8
"Kiberderevnya","2023","2023",527,7.5
"Kick","2016","\N",16,10
"Kick Buttowski: Suburban Daredevil","2010","2012",2436,7.6
"Kickin' It","2011","2015",4449,7.9
"Kicking & Screaming","2017","2017",65,7.6
"Kickstarter Crap","2013","\N",31,7.6
"Kid Cosmic","2021","2022",1720,8.1
"Kid Criminals","2015","\N",10,7.9
"Kid Nation","2007","2007",277,7.2
"Kid Notorious","2003","2003",41,6.3
"Kid Sister","2022","\N",40,6.9
"Kid vs. Kat","2008","2011",916,6.2
"Kid's Town","2013","\N",16,7.2
"Kidd Video","1984","1985",17,6.8
"Kidding","2018","2020",14585,7.6
"Kiddy Grade","2002","2003",10,6
"Kidnap","2024","\N",5,8.2
"Kidnap & Rescue","2011","\N",7,8.7
"Kidnap and Ransom","2011","2012",363,7.4
"Kidnapped","1978","1978",115,6.9
"Kidnapped","2006","2007",1028,7.2
"Kidnapped","2024","\N",19,7.4
"Kidnapped: The True Story of How I Made America Great Again","2016","\N",7,4.9
"Kidou Senshi Gundam: Tekketsu no Orphans","2015","2017",3158,8.1
"Kidou tenshi enjerikku reiyâ","2001","2001",74,8.2
"Kids Baking Championship","2015","\N",934,7.6
"Kids Behind Bars: Life or Parole","2019","\N",176,7
"Kids Halloween Baking Championship","2016","\N",6,8.7
"Kids Incorporated","1984","1993",9,8.2
"Kids React","2010","\N",601,5.7
"Kids Say the Darndest Things","1998","2000",6,8.2
"Kids Say the Darndest Things","2019","2021",21,3.3
"Kids by the Dozen","2007","\N",7,8.3
"Kids in Crime","2022","\N",231,8.5
"Kids in the Hall: Death Comes to Town","2010","\N",434,7.1
"Kids on the Silk Road","2017","\N",34,7
"Kidsongs","1987","\N",6,7.7
"Kidô Senkan Nadesico","1996","1997",210,8.7
"Kidô Senshi Gandamu Yunikôn","2010","2014",394,8.3
"Kidô Senshi Gundam 00","2007","2009",2117,9.4
"Kidô Senshi Gundam 0080 Pocket no Naka no Sensô","1989","1989",349,8.4
"Kidô Senshi Gundam Ji Orijin Zenya Akai Suisei","2019","2019",188,8.2
"Kidô butoden ji Gandamu","1994","1995",618,7.8
"Kidô keisatsu patorebâ","1989","1990",483,7.2
"Kidô keisatsu patorebâ","1988","1988",232,6.8
"Kidô keisatsu patorebâ 2","1990","1992",123,6.7
"Kidô senshi Gandamu","1979","1980",3629,8.5
"Kidô senshi Gandamu: Suisei no majo","2022","2023",2560,8.1
"Kidô senshi Gundam 0083: Stardust Memory","1991","1992",383,8.4
"Kidô senshi Gundam Seed","2002","2003",1882,8.3
"Kidô senshi Gundam Seed Destiny","2004","2005",987,7.4
"Kidô senshi Gundam ZZ","1986","1987",1610,7.7
"Kidô senshi Gundam: Dai 08 MS shôtai","1996","2013",543,8.1
"Kidô senshi V Gundam","1993","1994",575,7.2
"Kidô senshi Z Gundam","1985","1986",3028,8.9
"Kidô shin seiki Gundam X","1996","1996",347,7.5
"Kidô shinsengumi: Moe yo ken TV","2005","\N",29,7
"Kiedy slub?","2024","2024",6,7.8
"Kiekens","2011","2012",6,6.2
"Kielergata","2018","\N",258,7.6
"Kieltolaki","2022","2022",16,7.2
"Kieran's Kaleidoscope","1949","1952",85,6
"Kiff","2023","\N",797,7.1
"Kiimaiset poliisit","1993","1993",6,7.2
"Kijeokui Hyungje","2023","\N",236,6.7
"Kijû shinseiki Zoid","2001","2001",8,7.8
"Kikai Sentai Zenkaijâ","2021","2022",309,6.5
"Kikansha no Mahou wa Tokubetsu desu","2023","\N",448,7.6
"Kikazaru Koi ni wa Riyuu ga Atte","2021","\N",5,7.8
"Kiki and Kitty","2017","2017",40,9.2
"Kikoriki: New Season","2020","\N",616,7.5
"Kikô shôjo wa kizutsukanai","2013","2013",126,7.5
"Kikô sôseiki Mospeada","1983","1984",277,6.8
"Kill Arman","2009","\N",157,7.9
"Kill It","2019","2019",251,8.4
"Kill Thy Neighbour","2021","\N",51,7.1
"Kill Tony","2013","\N",8,9.2
"Kill or Be Killed","2024","\N",22,8.6
"Killer","1983","1983",51,8.1
"Killer Affair","2019","\N",8,6.1
"Killer Bean","2020","2020",72,7.8
"Killer Bods","2020","\N",15,7.6
"Killer Camp","2019","2022",146,6.9
"Killer Cases","2020","\N",761,6.1
"Killer Coaster","2023","\N",112,6.5
"Killer Confessions","2015","\N",5,7.8
"Killer Contact","2013","\N",44,7.9
"Killer Cops","2017","2017",11,8.2
"Killer Crocs with Steve Backshall","2024","2024",8,7.6
"Killer Inside: The Mind of Aaron Hernandez","2020","2020",1823,7.7
"Killer Instinct","2005","2006",252,8.2
"Killer Instinct with Chris Hansen","2015","\N",136,7.9
"Killer Karaoke","2012","\N",28,8.2
"Killer Kids","2011","2015",612,7.6
"Killer Motive","2019","\N",5,7.2
"Killer Net","1998","1998",49,6.3
"Killer Outbreaks","2011","\N",32,9
"Killer Ratings","2019","2019",616,8
"Killer Relationship with Faith Jenkins","2022","\N",16,8.3
"Killer Sally","2022","2022",658,7
"Killer Siblings","2019","\N",203,8.3
"Killer Soup","2024","\N",762,6.6
"Killer Unknown","2018","2018",46,6
"Killer Wave","2007","\N",81,5.3
"Killer Whales","2024","\N",11,4.9
"Killer Women","2014","2014",509,6.8
"Killer Women with Piers Morgan","2016","2017",409,7.5
"Killer at the Crime Scene","2021","\N",99,7.6
"Killer in Plain Sight","2018","\N",395,7.4
"Killer in Question","2020","\N",48,7.8
"Killer in the Family","2009","2009",64,6.2
"Killers Behind Bars: The Untold Story","2012","\N",5,6.8
"Killers of the Cosmos","2021","2021",112,7.4
"Killers: Behind the Myth","2013","2015",78,6.2
"Killers: Caught on Camera","2023","\N",59,6.8
"Killinaskully","2003","2008",70,7
"Killing County","2023","2023",176,5.8
"Killing Eve","2018","2022",108633,7.4
"Killing Fields","2016","\N",466,8.1
"Killing It","2022","\N",2285,7.3
"Killing Richard Glossip","2017","\N",25,6.8
"Killing Sherlock: Lucy Worsley on the Case of Conan Doyle","2023","2023",78,8.4
"Killing Spree","2014","\N",57,7
"Killing Time","2010","2011",112,7
"Killing Time","2019","\N",38,6.4
"Killision Course","2016","\N",16,7
"Killjoy","2022","\N",35,5
"Killjoys","2015","2019",17741,7.3
"Kilmi, hilmi","2015","2015",820,8.3
"Kim Gwajang","2017","2017",439,7.9
"Kim Kong","2017","\N",49,6.7
"Kim Philby: His Most Intimate Betrayal","2014","\N",12,6.8
"Kim Possible","2002","2007",14098,7.9
"Kim Soo Ro","2010","2010",8,7.6
"Kim vs Kanye: The Divorce","2023","2023",57,6.6
"Kim's Convenience","2016","2021",21109,7.4
"Kimagure orenji rôdo","1985","1988",88,7.7
"Kimaira","2021","2021",170,8.2
"Kimbiseoga wae geureolkka","2018","2018",2611,7.7
"Kimetsu no Yaiba","2019","\N",340641,8.2
"Kimi ga aruji de shitsuji ga ore de","2008","2008",11,5.1
"Kimi ga nozomu eien","2003","2004",161,6.5
"Kimi ni todoke","2009","2024",2997,6.5
"Kimi ni wa Todokanai.","2023","\N",233,8.6
"Kimi no Hana ni Naru","2022","2022",25,7.9
"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo","2023","\N",1729,7.5
"Kimi to Boku no Saigo no Senjou, Arui wa Sekai ga Hajimaru Seisen","2020","\N",737,8.1
"Kimi to nara koi wo sitemitemo","2023","2023",37,8
"Kimi to sekai ga owaru hi ni","2021","2024",179,6
"Kimi wa Hokago Insomnia","2023","2023",1320,7.7
"Kimi wa petto","2003","\N",79,8.8
"Kimikisu: Pyua rûju","2007","\N",16,6
"Kimler Geldi Kimler Geçti","2024","\N",19911,7.6
"Kimmo","2012","2017",599,6.7
"Kimora: Life in the Fab Lane","2007","2011",6,7
"Kimse Bilmez","2019","2019",404,8.2
"Kin","2021","\N",5337,7.7
"Kinali Kar","2002","2004",210,5
"Kinda Funny: The Animated Series","2016","2017",12,8.2
"Kindaichi Shonen no Jikenbo","2022","\N",74,6
"Kindaichi Shounen no Jikenbo Returns","2012","2016",301,7.1
"Kindaichi Shônen no Jikenbo Neo","2014","\N",10,4.8
"Kindaichi shônen no jiken bo","1997","2000",1249,8.2
"Kinderfänger","2020","\N",5,5.8
"Kindergarten: The Musical","2024","\N",9,7.7
"Kindred","2022","2022",1339,7.7
"Kindred Spirits","2016","\N",1579,8
"Kindred: The Embraced","1996","1996",541,7
"King","1978","1978",30,8.3
"King","2011","2012",1117,7.5
"King & Maxwell","2013","2013",1364,7.5
"King Arthur and the Knights of Justice","1992","1994",146,7.1
"King Charles","2023","2024",9,3.6
"King Gary","2018","2021",505,6.2
"King George and Queen Mary: The Royals Who Rescued the Monarchy","2012","\N",13,8.1
"King Kong","1966","\N",31,5.2
"King Solomon's Mines","2004","2004",168,6.4
"King Star King","2013","2023",152,6.9
"King Tut Unwrapped","2010","\N",29,7.2
"King deo raendeu","2023","2023",90480,4.6
"King of Boys: The Return of the King","2021","2021",154,8.5
"King of Collectibles: The Goldin Touch","2023","2024",978,6.9
"King of Diamonds","1961","1962",27,7.2
"King of Kensington","1975","1980",38,3.7
"King of Stonks","2022","2022",322,6.6
"King of Zanzibar","2024","\N",24,6.8
"King of the Con","2022","\N",5,8
"King of the Hill","1997","2010",104539,7.5
"King of the Nerds","2013","2015",350,6.3
"King of the Road","2016","\N",198,8.5
"King's Daughter, Soo Baek Hyang","2013","2014",5,9
"King's Raid: Ishi wo Tsugu Mono-tachi","2020","\N",199,6.1
"Kingdom","2007","2009",1638,7.3
"Kingdom","2021","\N",6,7.2
"Kingdom","2012","\N",28384,9.1
"Kingdom","2014","2017",12327,8.1
"Kingdom","2019","2020",23455,7.7
"Kingdom Business","2022","\N",321,7.3
"Kingdom Hospital","2004","2004",1874,6.4
"Kingdom of Dreams","2022","2022",87,8.2
"Kingdom of Plants 3D","2012","2012",228,8.8
"Kingdom of the Apes","2014","\N",17,6
"Kingdom of the Mummies","2020","2020",105,7.7
"Kingdom of the Oceans","2011","2011",81,7.1
"Kingdom of the White Wolf","2019","2019",90,7.9
"Kingdoms of Fire","2019","\N",593,6.2
"Kingpin","2003","2003",99,7.8
"Kingpin","2018","2018",120,8.3
"Kingpin Katie","2019","\N",49,8.3
"Kings","2009","2009",1976,7.6
"Kings Row","1955","1956",14,8.6
"Kings and Queens","2002","\N",6,8.2
"Kings from Queens: The Run DMC Story","2024","2024",75,8.6
"Kings of Con","2016","2017",329,9.5
"Kings of Jo'burg","2020","\N",188,7.2
"Kings of Pain","2019","\N",268,7.4
"Kings of the Wild","2015","\N",24,9.1
"Kingston: Confidential","1976","1977",11,6.3
"Kingswood Country","1980","1984",10,7.6
"Kingyo Tsuma","2022","\N",404,7.1
"Kinkyû Torishirabeshitsu","2014","\N",5,7
"KinnPorsche the Series La 'forte","2022","2022",4021,8.4
"Kinnikuman","1983","1986",9,6.9
"Kinnikuman Kanpeki Chôjin Shiso-hen","2024","\N",17,8.2
"Kino no tabi","2003","2003",1418,7.9
"Kino no tabi","2017","2017",522,7.4
"Kino+","2014","\N",6,10
"Kinomagazin","1993","\N",16,6.3
"Kinotipp","2007","\N",33,6.5
"Kinou nani tabeta?","2019","\N",188,8.1
"Kinsô no Vermeil ~Gakeppuchi majutsushi wa saikyô no yakusai to mahô sekai wo tsukisusumu~","2022","2022",1195,7.2
"Kinvig","1981","1981",51,5.7
"Kioski","2021","2021",133,6.4
"Kipat Barzel","2017","2018",27,8.6
"Kipo and the Age of Wonderbeasts","2020","2020",5266,7.6
"Kipper","1997","2004",494,8.6
"Kir Royal","1986","1986",342,7.4
"Kiralik Ask","2015","2017",4994,7.6
"Kiraz Mevsimi","2014","2015",1313,7.2
"Kirby Buckets","2014","2017",272,6.9
"Kirby Jenner","2020","\N",10,6.8
"Kirdaar","1993","1995",6,7.3
"Kirgin Çiçekler","2015","2018",1282,8
"Kiri","2018","2018",596,6.9
"Kiringu Baitsu","2018","\N",237,6.9
"Kirjolla","2023","2023",49,7.9
"Kirk","1995","1997",704,7.8
"Kirli Sepeti","2023","\N",1002,6.9
"Kirmizi Oda","2020","2022",789,8.1
"Kirstie","2013","2014",448,6.7
"Kirstie Alley's Big Life","2010","2010",15,5.6
"Kiru mî beibê","2012","2012",156,5.9
"Kiru ra kiru: KILL la KILL","2013","2014",7629,7.7
"Kis Desh Mein Hai Meraa Dil","2008","2010",16,9.4
"Kis Günesi","2016","2016",77,8.5
"Kisah untuk Geri","2021","2021",553,8.8
"Kiseijû: Sei no kakuritsu","2014","2015",21336,7.8
"Kiseki: Dear to Me","2023","2023",223,8.2
"Kisetsunonaimachi","2023","2023",31,7.6
"Kishibe Rohan wa Ugokanai","2020","2024",155,8.1
"Kishuku Gakko no Juliet","2018","2018",356,8.3
"Kismat Ki Lakeeron Se","2022","2024",15,8.4
"Kismet","2023","2023",80,6.5
"Kismetse Olur: Askin Gücü","2022","\N",27,8.4
"Kiss Goblin","2020","2020",102,8.4
"Kiss Me Again","2018","2018",5,8.4
"Kiss Me First","2018","2018",997,6.9
"Kiss Sixth Sense","2022","\N",237,7.6
"Kiss of Death","2017","2017",11,8
"Kiss x sis","2010","2010",650,7.6
"Kiss: The Series","2016","2016",5,7.2
"Kissable Lips","2022","2022",141,8.1
"Kitakubu katsudô kiroku","2013","\N",73,8.5
"Kitani Mohabbat Hai","2009","2011",138,9.1
"Kitchen Commando","2023","\N",53,8.8
"Kitchen Confidential","2005","2006",1254,7.9
"Kitchen Crashers","2011","\N",10,7.4
"Kitchen Impossible","2014","\N",196,7.4
"Kitchen Nightmares","2007","2023",18133,7.3
"Kitchen Nightmares Australia","2022","\N",8,6
"Kite Man: Hell Yeah!","2024","\N",1584,7.8
"Kiteretsu Daihyakka","1988","1996",15,8
"Kitten vs. Newborn","2008","2008",14,8.9
"Kitti Katz","2023","\N",7,8.8
"Kitz","2021","2021",425,7.1
"Kivikasvot show","1969","1996",28,7.7
"Kiyma","2022","2024",104,6.8
"Kizazi Moto: Generation Fire","2023","\N",842,7
"Kizil Goncalar","2023","\N",1460,8.5
"Kizilcik Serbeti","2022","\N",4200,6.2
"Kizim","2018","2019",570,6.2
"Kizlar Yurdu","2006","2006",459,9.2
"Kiznaiver","2016","2016",524,7.1
"Kizuna","1994","1994",143,6.3
"Kizuna no Ariru","2023","\N",5,5.2
"Kizzy","1976","1976",28,8.6
"Kjell","2007","2015",171,8.2
"Kjære landsmenn","2021","\N",141,7.9
"Kkavyanjali","2005","2006",2390,9.7
"Kkondae Intern","2020","2020",10,6.4
"Kkot Pimyeon Dal Saenggakhago","2021","2022",116,8.5
"Kkotboda namja","2009","2009",2415,7.3
"Kkotminam Ramyeongage","2011","2011",143,8.3
"Kkotpadang: Joseonhondamgongjakso","2019","2019",170,6.8
"Klan","2020","\N",9662,7.6
"Klangor","2021","\N",265,7
"Klar til strid","2023","\N",17,7.3
"Klass - Elu pärast","2010","2010",175,7.6
"Klassen","2016","2024",24,6.8
"Klassen SVT","2017","\N",19,3.2
"Klavye Delikanlilari","2017","2017",46,2.5
"Kleines Land ganz groß","2021","2022",8,6.7
"Kleise ta matia","2003","2004",31,6.3
"Klem","2017","2024",1394,8.3
"Klemmena oneira","2011","2015",6,8.4
"Kleo","2022","\N",4370,7.2
"Klepper","2019","2019",205,8.2
"Kleun Cheewit","2017","2017",8,9.2
"Klimawechsel","2009","\N",61,6.5
"Klimbim","1973","1979",579,7.3
"Klinik unter Palmen","1996","2003",150,6.2
"Klinikum Berlin Mitte - Leben in Bereitschaft","2000","2002",8,6.2
"Kljun","2021","\N",682,6.1
"Klondike","1960","1961",24,8.4
"Klondike","2014","2014",1123,7.4
"Klovn","2005","2022",5903,7.5
"Knallerfrauen","2011","2015",564,7.7
"Knees-Up","1982","\N",20,8.3
"Kneg","2021","2021",11,6.5
"Knekt","2023","\N",130,6.3
"Knevel & van den Brink","2007","2014",17,1
"Knight Fight","2019","\N",64,7.3
"Knight Rider","1982","1986",27512,7.3
"Knight Rider","2008","2009",10685,5.8
"Knight Squad","2018","2019",627,5.9
"Knight's & Magic","2017","2018",1399,6.9
"Knightfall","2017","2019",12249,8.4
"Knightmare","1987","1994",187,7.8
"Knights","2015","2015",20,7.4
"Knights of Bloodsteel","2009","2009",113,5.9
"Knights of Classic Drama at the BBC","2015","\N",42,8.9
"Knights of God","1987","1987",56,7.3
"Knightwatch","1988","1989",8,8.4
"Knock Knock Ghost","2014","\N",7,4.9
"Knock knock, boys!","2024","\N",5,8.4
"Knokke Off","2023","\N",984,7.1
