"nome_da_serie","startYear","endYear","total_votos","averageRating"
"2012 Presidential Debates","2012","\N",7,4.5
"2012-2013 UEFA Champions League","2012","2013",124,7.8
"2013-2014 UEFA Champions League","2013","2014",105,7.4
"2014 FIFA World Cup Brazil","2014","2014",2811,6.9
"2014 ICC World Twenty20","2014","2014",20,5.8
"2014-2015 UEFA Champions League","2014","2015",66,7
"2015 World Series","2015","\N",12,7.5
"2015-2016 UEFA Champions League","2015","2016",32,6.5
"2016 ICC World Twenty20","2016","2016",68,9.2
"2016 Presidential Debates","2016","\N",81,6.3
"2016 World Series","2016","2016",66,7.2
"2016-2017 UEFA Champions League","2016","2017",72,7.6
"2017 ICC Champions Trophy","2017","2017",11,5.2
"2017 World Series","2017","2017",60,7.9
"2017-2018 UEFA Champions League","2017","2018",59,8.1
"2018 FIFA World Cup Russia","2018","2018",3721,6.4
"2018 World Series","2018","2018",5,8.8
"2018-2019 Süper Lig","2018","2019",13,6.2
"2018-2019 UEFA Champions League","2018","2019",583,7.4
"2019 World Series","2019","2019",34,8.2
"2019-2020 Süper Lig","2019","2020",36,8.2
"2019-2020 UEFA Champions League","2019","2020",485,6.3
"2020","2021","\N",285,8.4
"2020 A.D.","2020","\N",245,10
"2020 Democratic National Convention","2020","2020",166,7.9
"2020 Presidential Debates","2020","2020",52,3.2
"2020 Republican National Convention","2020","2020",165,3.8
"2020 World Series","2020","2020",39,7.8
"2020-2021 UEFA Champions League","2020","2021",113,7
"2021 World Series","2021","2021",10,8.4
"2021-2022 UEFA Champions League","2021","2022",62,8.5
"2022 FIFA World Cup Qatar","2022","2022",4174,6.3
"2022 ICC Men's T20 World Cup","2022","2022",26,9
"2022 World Series","2022","2022",47,8.8
"2022-2023 Süper Lig","2022","\N",97,7.4
"2023 FIFA Women's World Cup","2023","2023",49,7.8
"2023 ICC Cricket World Cup","2023","\N",62,6.2
"2023 World Baseball Classic","2023","2023",5,7.6
"2023-2024 Süper Lig","2023","2024",49,8.2
"2023-2024 UEFA Champions League","2023","2024",48,8.9
"2024 ICC Men's T20 World Cup","2024","2024",16,9
