"titulo_serie","temporada","rating_temporada"
"12 reci","1",8.8
"12 reci","2",7.05
"12 stulev","1",8.025
"13 Demon Street","1",5.8
"13 Geboden","1",7.21538461538462
"13 Klinicheskaya","1",7.725
"13 Mussoorie","1",7.13333333333333
"13 Nights of Elvira","1",6.17692307692308
"13 Reasons Why","1",8.35384615384615
"13 Reasons Why","2",7.40769230769231
"13 Reasons Why","3",6.76923076923077
"13 Reasons Why","4",6.14
"13 Reasons Why: Beyond the Reasons","1",7.8
"13 Reasons Why: Beyond the Reasons","2",7
"13 Reasons Why: Beyond the Reasons","3",7.1
"13 Steps Down","1",6.8
"13 posterunek","1",7.24146341463415
"13 posterunek 2","1",7.4390243902439
"13: Fear Is Real","1",5.6
"14 Tagebücher des Ersten Weltkriegs","1",8.625
"14 de abril. La República","1",6.8
"14.000.000.000$!!!","1",9.4
"14.000.000.000$!!!","2",9.48571428571429
"14.000.000.000$!!!","3",9.77142857142857
"140journos - Sikismislik","1",8.44
"1491: The Untold Story of the Americas Before Columbus","1",7.88571428571429
"15 - Det är mitt liv","4",4.7
"15 Bishoujo Hyouryuuki","1",5.96666666666667
"15 Days","1",6.575
"15 Storeys High","1",8.13333333333333
"15 Storeys High","2",8.08333333333333
"15: A Quinceañera Story","1",7.45
"16 and Pregnant","1",6.28333333333333
"16 and Pregnant","2",6.025
"16 and Pregnant","3",5.21666666666667
"16 and Pregnant","4",5.88333333333333
"16 and Pregnant","5",4.26666666666667
"16 and Recovering","1",7
"16 x Deutschland - Menschen - Orte - Geschichten","1",8.3
"1600 Penn","1",6.5
"1670","1",7.65
"16bit sensêshon: Another Layer","1",7.5
"17 - o poveste despre destin","1",8.46
"17 Kids and Counting","1",3.53
"17 Kids and Counting","10",2.2
"17 Kids and Counting","13",5.95
"17 Kids and Counting","14",4
"17 Kids and Counting","15",5
"17 Kids and Counting","2",3.12
"17 Kids and Counting","3",3.5
"17 Kids and Counting","7",2.6
"17 Selamanya","1",9.78571428571429
"17 klostes","1",8.55
"1703","1",6.31428571428571
"18 - Allein unter Mädchen","1",6.9
"18 - Allein unter Mädchen","2",6.8
"18 Wheels of Justice","1",7.34285714285714
"18 Wheels of Justice","2",7.525
"18 to Life","1",7.33333333333333
"18 to Life","2",7.73076923076923
"180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?","1",4.55833333333333
"180 Degree Longitude Passes Through Us","1",8.3
"1864","1",6.45
"1883","1",8.54
"1899","1",7.975
"18If","1",5.81538461538462
"19-2","1",7.96
"19-2","2",8.18
"19-2","3",8.04
"19-2","4",8.2
"1916","1",7.7
"1916: The Irish Rebellion","1",7.56666666666667
"1923","1",8.275
"1929, la crise","1",7.4
"1939: Secrets of Hollywood's Golden Year","1",5.9
"1942","1",6.68
"1962: The War in the Hills","1",8.05
"1966 FIFA World Cup","\N",9
"1968: The Year That Changed America","1",7.7
"1968mm","1",7.4
"1969","1",7.26666666666667
"1971: The Year That Music Changed Everything","1",7.5875
"1975 World Series","\N",7.31666666666667
"1976 Presidential Debates","1",7.4
"1982 FIFA World Cup","\N",8.4
"1983","1",6.95
"1985","1",7.925
"1986","1",8.05384615384615
"1986 FIFA World Cup","\N",7.88333333333333
"1986 World Series","1",7.2
"1986 World Series","\N",7.03333333333333
"1989: The Year That Made Us","1",7.88333333333333
"1990","1",7.5
"1990","2",7.425
"1990 FIFA World Cup","\N",7.4625
"1990 World Series","1",7.4
"1992","1",7.3
"1993","1",7.375
"1994","1",7.80769230769231
"1994 FIFA World Cup","1",6.6
"1994 FIFA World Cup","\N",7.9
"1998 FIFA World Cup","1",7.8
"1998 FIFA World Cup","\N",7.29666666666667
"1999-2000 UEFA Champions League","\N",9.2
"1pm Daily Update","2",8.8
"1pm Daily Update","3",8.9
"1pm Daily Update","4",9.2
"1st & Ten","1",6.23076923076923
"1st & Ten","2",5.8
"1st & Ten","3",5.63846153846154
"1st & Ten","4",6.42
"1st Amendment Stand Up","3",7.2
"1st Amendment Stand Up","\N",9.5
"1st Look","1",7.7
"2 Broke Girls","1",7.18333333333333
"2 Broke Girls","2",7.19166666666667
"2 Broke Girls","3",7.21666666666667
"2 Broke Girls","4",6.89090909090909
"2 Broke Girls","5",6.89545454545454
"2 Broke Girls","6",6.72272727272727
"2 Dope Queens","1",7.525
"2 Dope Queens","2",7.425
"2 Døgn","1",7.05
"2 Døgn","2",6.6
"2 Girls, 1 Cup: The Show","1",6.38
"2 Good 2 Be True","1",7.2
"2 Moons: The Series","1",7.125
"2 Stupid Dogs","1",7.88461538461539
"2 Stupid Dogs","2",7.61538461538461
"2 Weeks","1",8.88125
"2 for Flinching","1",8.7
"2.43 Seiin Koukou Danshi Volley Bu","1",6.825
"2.5-jigen no Ririsa","1",7.64444444444444
"20 Dakika","1",9.616
"20 Seconds to Live","1",8.9
"20 heures le journal","\N",6.36666666666667
"20 seiki awâ","\N",5.45
"20 to 1","1",4.4
"20 to 1","2",4.8
"20 to 1","3",6.825
"20 to 1","4",6.9
"20 to 1","5",6.7
"20 to 1","8",5.55
"20 to 1","9",7.6
"20,000 Leagues Under the Sea","1",6.25
"20/20","1",8.2
"20/20","18",5.3
"20/20","29",6.6
"20/20","31",6.75
"20/20","32",6.3
"20/20","35",6.13333333333333
"20/20","36",5.8
"20/20","37",6.15
"20/20","38",6.725
"20/20","39",6.9578947368421
"20/20","40",7.24318181818182
"20/20","41",7.17804878048781
"20/20","42",7.27727272727273
"20/20","43",7.47297297297297
"20/20","44",7.17647058823529
"20/20","45",7.83846153846154
"20/20","46",7.7974358974359
"20/20","47",7.26060606060606
"20/20","7",6.3
"20/20","\N",6.43239436619718
"20/20 on ID","3",9
"20/20: The Interrogation Tapes","1",7.65
"2000 Jahre Christentum","1",6.7
"2000 Malibu Road","1",6.45
"2002 FIFA World Cup","1",7.2
"2002 FIFA World Cup","\N",7.41951219512195
"2002-2003 UEFA Champions League","\N",9
"2003-2004 UEFA Champions League","1",7.8
"2004-2010 s Leonidom Parfyonovym","1",7.47142857142857
"2006 FIFA World Cup","\N",7.33611111111111
"2006-2007 UEFA Champions League","1",6.4
"2006-2007 UEFA Champions League","\N",7.9
"2007 ICC World Twenty20","1",9.35
"2007-2008 UEFA Champions League","\N",7.46666666666667
"2008-2009 UEFA Champions League","\N",6.86666666666667
"2009 World Series of Poker","1",8.75217391304348
"2009: A True Story","1",9.1
"2010 FIFA World Cup","1",6.6140625
"2010 ICC World Twenty20","\N",9
"2010-2011 UEFA Champions League","\N",7.8
"2011 World Series","1",8.5
"2011-2012 UEFA Champions League","\N",7.6
"2012 Presidential Debates","1",4.5
"2012-2013 UEFA Champions League","1",7.5
"2012-2013 UEFA Champions League","2",7.85
"2012-2013 UEFA Champions League","\N",8.1625
"2013-2014 UEFA Champions League","\N",8.32
"2014 FIFA World Cup Brazil","1",6.7734375
"2014 ICC World Twenty20","\N",7.3
"2014-2015 UEFA Champions League","\N",6.875
"2015 World Series","1",7.9
"2015-2016 UEFA Champions League","\N",8.33333333333333
"2016 ICC World Twenty20","\N",7.94285714285714
"2016 Presidential Debates","1",6.46666666666667
"2016 World Series","1",7.97142857142857
"2016-2017 UEFA Champions League","\N",7.93333333333333
"2017 ICC Champions Trophy","\N",5.8
"2017 World Series","1",7.97142857142857
"2017-2018 UEFA Champions League","\N",7.43333333333333
"2018 FIFA World Cup Russia","1",6.434375
"2018 World Series","1",8.8
"2018-2019 Süper Lig","\N",5.9
"2018-2019 UEFA Champions League","\N",7.85681818181818
"2019 World Series","1",8.16666666666667
"2019-2020 Süper Lig","1",5.4
"2019-2020 Süper Lig","2",5.46666666666667
"2019-2020 UEFA Champions League","1",7.18
"2019-2020 UEFA Champions League","2",6.98095238095238
"2020","1",8.90333333333333
"2020 A.D.","1",9.84736842105263
"2020 Democratic National Convention","\N",7.7
"2020 Presidential Debates","1",4.4
"2020 Republican National Convention","\N",3.75
"2020 World Series","1",8.13333333333333
"2020-2021 UEFA Champions League","1",7.29230769230769
"2021 World Series","1",8.1
"2021-2022 UEFA Champions League","1",9.4
"2021-2022 UEFA Champions League","\N",8.1
"2022 FIFA World Cup Qatar","1",6.57291666666667
"2022 FIFA World Cup Qatar","2",6.6125
"2022 FIFA World Cup Qatar","3",7.675
"2022 FIFA World Cup Qatar","4",7.2
"2022 FIFA World Cup Qatar","5",8.15
"2022 ICC Men's T20 World Cup","1",7.66666666666667
"2022 World Series","1",7.66666666666667
"2022-2023 Süper Lig","\N",7.93125
"2023 FIFA Women's World Cup","1",7.9
"2023 ICC Cricket World Cup","1",6.60833333333333
"2023 World Baseball Classic","1",7.6
"2023-2024 Süper Lig","\N",8.9625
"2023-2024 UEFA Champions League","1",8.26
"2024 ICC Men's T20 World Cup","1",9.4
"2024 Republican National Convention","1",6.13333333333333
"2030 - Aufstand der Alten","1",5.4
"2057","1",6.66666666666667
"2077 - 10 Segundos Para o Futuro","1",6.6
"2091","1",7.26666666666667
"20h10 pétantes","\N",9.8
"21 Jump Street","1",7.33333333333333
"21 Jump Street","2",7.41363636363636
"21 Jump Street","3",7.64
"21 Jump Street","4",7.43461538461538
"21 Jump Street","5",6.92272727272727
"21 Sarfarosh - Saragarhi 1897","1",9.2
"21 Thunder","1",7.225
"22 Kids and Counting","1",5.8
"22. juli","1",7.91666666666667
"227","1",7.24545454545455
"227","2",7.46363636363636
"227","3",7.39583333333333
"227","4",7.2375
"227","5",7.3125
"23 Morde","1",5.68333333333333
"23-F: El día más difícil del Rey","1",6.4
"23.5","1",9.40833333333333
"24","1",8.21875
"24","2",8.47083333333333
"24","3",8.43333333333333
"24","4",8.324
"24","5",8.552
"24","6",8.04
"24","7",8.22083333333333
"24","8",8.1875
"24 Hours in A&E","1",8.11428571428571
"24 Hours in A&E","10",7.32
"24 Hours in A&E","11",7.47142857142857
"24 Hours in A&E","12",7.2
"24 Hours in A&E","14",7.4
"24 Hours in A&E","16",7.74
"24 Hours in A&E","18",8.4
"24 Hours in A&E","2",8.775
"24 Hours in A&E","3",8.41
"24 Hours in A&E","30",8.4
"24 Hours in A&E","6",8.35
"24 Hours in A&E","7",9.2
"24 Hours in A&E","8",8.28
"24 Hours in A&E","9",7.4
"24 Hours in Police Custody","1",7.12857142857143
"24 Hours in Police Custody","10",8.4
"24 Hours in Police Custody","11",7.8
"24 Hours in Police Custody","12",7.88333333333333
"24 Hours in Police Custody","13",7.97777777777778
"24 Hours in Police Custody","2",7.03333333333333
"24 Hours in Police Custody","3",6.76
"24 Hours in Police Custody","4",7.12222222222222
"24 Hours in Police Custody","5",7.08
"24 Hours in Police Custody","6",7.7
"24 Hours in Police Custody","7",7.2375
"24 Hours in Police Custody","8",7.75
"24 Hours in Police Custody","9",8.325
"24 Hours in Police Custody","\N",8.9
"24 horas","\N",7.2
"24 in 24: Last Chef Standing","1",7.8
"24 to Life","1",6.7
"24 to Life","2",7.4
"24 uur met...","1",7.8
"24 uur met...","10",8.2
"24 uur met...","2",7
"24 uur met...","5",8.4
"24 uur met...","8",7.65
"24-stjerners julekalender","1",7.12083333333333
"24-stjerners julekalender","2",7.3
"24/7 College Football","1",8.125
"24/7 Penguins/Capitals","1",7.2
"240-Robert","1",8.57692307692308
"240-Robert","2",8.95
"24: Conspiracy","1",4.7
"24: Day Six - Debrief","6",6.4
"24: Day Zero","1",6.03333333333333
"24: Legacy","1",7.03076923076923
"24: Live Another Day","1",8.6
"24Inside","1",3.76666666666667
"25-sai no Joshikousei","1",5.55833333333333
"257 prichin, chtoby zhit","1",7.41111111111111
"25ji Akasaka de","1",8.14444444444444
"26 Men","1",6.49333333333333
"26 Men","2",6.85
"28 Days Haunted","1",4.41666666666667
"29","1",7.475
"29","2",7.6375
"29","3",7.6375
"29","4",7.77
"29","5",7.3625
"2900 Happiness","1",7.6
"2DEZIT","1",6.5
"2Go Mad in Norfolk","1",7.13333333333333
"2Moons2","1",8
"2REAL4U presents Devil in the Midst Pilot","1",10
"2gether","1",8.05384615384615
"2gether","\N",8.3
"2gether: The Series","1",5.76923076923077
"2gether: The Series","2",5.48333333333333
"2nd Generation","1",8.48333333333333
"2nd House","1",5.9
"2point4 Children","1",7.48333333333333
"2point4 Children","2",7.925
"2point4 Children","3",7.87142857142857
"2point4 Children","4",8.02857142857143
"2point4 Children","5",7.74285714285714
"2point4 Children","6",7.775
"2point4 Children","7",7.75714285714286
"2point4 Children","8",7.36666666666667
"3 Body Problem","1",7.6375
"3 Girls 3","1",6.6
"3 Milagros","1",8.6
"3 Minute Wonder","\N",7.76666666666667
"3 Roses","1",5.875
"3 Will Be Free","1",8.025
"3 by Cheever","1",7.26666666666667
"3 caminos","1",7.575
"3 lbs.","1",7.725
"3 nen A gumi -Imakara minasan wa, Hitojichi desu-","1",8.4
"3%","1",7.7
"3%","2",7.49
"3%","3",7.475
"3%","4",7.58571428571429
"3-2-1 Penguins!","1",7.7
"3-2-1 Penguins!","3",5.8
"3-Minute Game Show","1",7.4
"3-Minute Game Show","4",8.9
"3-Minute Game Show","5",8.7
"3-South","1",7.09230769230769
"30 Days","1",6.95
"30 Days","2",7.48333333333333
"30 Days","3",8.05
"30 Days 30 Sex","1",9.2
"30 Days of Night: Blood Trails","1",6.01428571428571
"30 Days of Night: Dust to Dust","1",5.51666666666667
"30 Even Scarier Movie Moments","1",4.8
"30 Minuten","1",8.5
"30 Monedas","1",7.5625
"30 Monedas","2",7.0375
